,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
14,Data Scientist,Employer Provided Salary:$130K - $146K,"Requisition ID: 377004
Work Area: Information Technology
Expected Travel: 0%
Career Status: Professional
Employment Type: Regular Full Time
Career Level: T2
Original Posting Date: 7/17/23
Recruiter Name: J.L. Andal
Additional Locations:

Original Posting Date: 7/17/2023
Data Scientist",4.4,"SAP
4.4","Palo Alto, CA",10000+ Employees,1972.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
15,Data Scientist 2,Employer Provided Salary:$94K - $183K,"The Microsoft 365 team is looking for a Data Scientist 2 to help design and build one of the fastest growing cloud services in Microsoft. Do you want to design and develop new components that solve complex distributed systems and search optimization problems? Do you want to work on a product that ships new features every week? If the answer to these questions is yes, then the Microsoft 365 Storage Fabric team has an opportunity for you get in on designing and building a core part of the stack. We develop software from the ground-up, running across thousands of servers with oceans of data. We build and operate the largest enterprise cloud productivity system in the world. Across products such as Exchange, Teams, and SharePoint, we power communication, sharing, search, intelligent assistance for customers, extensibility through Microsoft Graph, and more. Throughout we maintain very high reliability and availability, privacy and compliance for customers, and latency in milliseconds. We apply a combination of approaches from the fields of API design, Machine Learning, Distributed Computing, Workflow engines, Algorithm Optimization, and many more. Come to define, design, and deliver what enterprise cloud productivity means.

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.




Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",4.3,"Microsoft
4.3","Redmond, WA",10000+ Employees,1975.0,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
16,Data Scientist,Employer Provided Salary:$110K - $113K,"Greetings from KonnectingTree!
We are looking for a full-stack Data Scientist for a full-time position. Kindly go through the job description and let me know if interested.
Job Description:
Strong Python skills.
▪ Experience with popular tools and libraries in the Python data science and machine learning ecosystem: eg pandas, Jupyter, scikit-learn, darts, Matplotlib, Plotly, XGBoost, Optuna, dask.
▪ Experience training and tuning machine learning models.
▪ Experience and keen interest in timeseries forecasting.",,Konnectingtree,Remote,1 to 50 Employees,,Company - Public,,"IT Services, Staffing and Managment Solutions firm",Unknown / Non-Applicable
17,Data Scientist Specialist,Employer Provided Salary:$82K - $143K,"In a world of possibilities, pursue one with endless opportunities. Imagine Next!
When it comes to what you want in your career, if you can imagine it, you can do it at Parsons. Imagine a career working with intelligent, diverse people sharing a common quest. Imagine a workplace where you can be yourself. Where you can thrive. Where you can find your next, right now. We’ve got what you’re looking for.
Job Description:
Parsons is seeking a Data Scientist Specialist with expertise in infectious diseases to join our team in developing and enhancing a cutting-edge biosurveillance platform. The successful candidate will have a strong background in data science, experience in agile development methodologies, and expertise in nowcasting models and forecasting techniques. As a Data Scientist Specialist, you will play a critical role in the development of new features, improvement of nowcasting models, and designing advanced forecasting techniques, ultimately contributing to the advancement of our biosurveillance platform.


Not Applicable/None
This position is part of our Federal Solutions team.
Our Federal Solutions segment delivers resources to our US government customers that ensure the success of missions around the globe. Our diverse, intelligent employees drive the state of the art as they provide services and solutions in the areas of defense, security, intelligence, infrastructure, and environmental. We promote a culture of excellence and close-knit teams that take pride in delivering, protecting, and sustaining our nation's most critical assets, from Earth to cyberspace. Throughout the company, our people are anticipating what’s next to deliver the solutions our customers need now.
$81,500.00 - $142,600.00
We value our employees and want our employees to take care of their overall wellbeing, which is why we offer best-in-class benefits such as medical, dental, vision, paid time off, Employee Stock Ownership Plan (ESOP), 401(k), life insurance, flexible work schedules, and holidays to fit your busy lifestyle!
Parsons is an equal opportunity employer committed to diversity, equity, inclusion, and accessibility in the workplace. Diversity is ingrained in who we are, how we do business, and is one of our company’s core values. Parsons equally employs representation at all job levels for minority, female, disabled, protected veteran and LGBTQ+.
We truly invest and care about our employee’s wellbeing and provide endless growth opportunities as the sky is the limit, so aim for the stars! Imagine next and join the Parsons quest—APPLY TODAY!",3.9,"Parsons
3.9",Remote,10000+ Employees,1944.0,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
18,Data Scientist,Employer Provided Salary:$125K - $145K,"Job Location
Boston
Job Description
The Procter & Gamble Business Service Company is seeking a Data Scientist (Boston, MA) to develop new Natural Language Processing (NLP) capabilities and apply them to projects including voice of consumer (eCommerce Ratings & Reviews, Social Media, Consumer comments from primary research, etc.). Analyze verbatims for consumer complaints (call center data), innovation opportunity discovery (qualitative consumer research), and consumption evaluation for in-market products. Build advanced large-scale machine learning models to bring direct business impacts such as facilitating product developers and products researchers and market researchers to better understand consumers’ attitude towards products without needing to perform large scale consumer tests, researching competitors to gain insight into their products and predicting emerging trends and topics using social media data. Communicate state-of-the-art NLP techniques with other Data Scientists and business leaders. Utilize strong Python and cloud computing skills along with tools such as PyTorch or TensorFlow to derive consumer related business insights. Local telecommuting permitted up to 3 days per week.
Full time
R000089048
Experienced Professionals (Job Segmentation)
$125,000.00 - $145,000.00 / year",4.1,"Procter & Gamble
4.1","Boston, MA",10000+ Employees,1837.0,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
19,Data Scientist,$100K - $135K (Glassdoor est.),"Job Description
Description:
Are you passionate about applying data science to real business and customer needs? Would you like to use your data science and leadership skills to help our customers do more, feel more, and be more? At Bose, we aim to bring products into the world that people truly love, and we don’t stop until the details are just right. Data science, machine learning, and analytics are a crucial part of this mission. These capabilities fuel the creation of new and innovative products, help us to bring the right products to the right customers, and allow us to astonish customers with carefully crafted and personalized experiences.
We are looking to bring in a bright and enthusiastic mid-level data scientist with a specialized focus on time series modeling within our Data and Analytics COE. The mission of this team is to develop world-class data science, machine learning, and statistical solutions to extract insights and enable data driven decisions that improve our business and enhance customer experiences. We achieve this by providing algorithmic and statistical expertise across the company to answer some of the most challenging decisions in areas such as price optimization, demand forecasting, drivers of customer loyalty, real-time personalization, and more.
Bose is an equal opportunity employer that is committed to inclusion and diversity. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, age, disability, veteran status, or any other legally protected characteristics. For additional information, please review: (1) the EEO is the Law Poster (http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf); and (2) its Supplements (http://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm). Please note, the company's pay transparency is available at http://www.dol.gov/ofccp/pdf/EO13665_PrescribedNondiscriminationPostingLanguage_JRFQA508c.pdf. Bose is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the application or employment process, please send an e-mail to Wellbeing@bose.com and let us know the nature of your request and your contact information.",3.8,"Bose
3.8","Framingham, MA",5001 to 10000 Employees,1964.0,Company - Private,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD)
20,Data Scientist,Employer Provided Salary:$50.00 - $65.00 Per Hour,"Data Scientist – Contractor
Kaizen Analytix LLC is an analytics services company seeking a qualified Data Science Contractor. Responsibilities and job requirements are below. This role requires an estimated 40 hours/week commitment for 4 months.
Responsibilities:
Work with a client team on performing and implementing high quality, sophisticated analysis in support of client engagements
Apply multi-variable, complex statistical analysis on large data sets to gain useful insights into the data, detect trends and outliers/invalid data conditions present in the data sets
Develop custom scalable and sustainable integrated mathematical models by leveraging Python skills",3.4,"Kaizen Analytix
3.4",Remote,1 to 50 Employees,,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
22,Senior Data Scientist (Remote),Employer Provided Salary:$122K - $171K,"[Quora is a ""remote-first"" company. This position can be performed remotely from anywhere in North America. Please visit careers.quora.com/eligible-countries for details regarding employment eligibility by country.]
About Quora:
Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:
Quora: a global knowledge sharing platform with over 400M monthly unique visitors, bringing people together to share insights on various topics and providing a unique platform to learn and connect with others.",4.4,"Quora
4.4",Remote,201 to 500 Employees,2009.0,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
29,Data Scientist - Generative AI,$76K - $115K (Glassdoor est.),"** Locations include Spring, Texas (preferred location), and US remote.
** Typically need at least Master's degree and minimum 0-2 years full-time relevant work experience.
The Team
We are a growing centralized team helping HP take advantage of new AI/ML technology, especially around Generative AI and large language models. We engage with business units to advise and prototype solutions, and we develop and run software applications for internal use.
The Role
As a Data Scientist with a focus on Generative AI you will work on multiple engagements across HP involving large language models and other new Generative AI capabilities. Beyond our team, you will work with business stakeholders and developers from other business units. Your primary focus and mindset is to help deliver business solutions to our (mostly internal) customers. You are expected to stay up to date on important new Gen AI papers and releases, but note that this is not an AI research role.",4.2,"HP
4.2","Spring, TX",10000+ Employees,1939.0,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
30,Entry Level Data Scientist 2023/2024,$48K - $78K (Glassdoor est.),"You may not realize it, but you’ve likely used a product today made possible by the plastics and chemicals manufactured by Chevron Phillips Chemical. From medical supplies and electronics to food packaging and cosmetics, we create the building blocks for more than 70,000 consumer and industrial products.

Even as a global company with 5,000 employees, we maintain a “small company feel” and uphold a culture of respect, diversity, and inclusion. Ask any Chevron Phillips Chemical employee what they like best about their job, and universally, the answer is “the people I work with!” We value work-life balance, and love to see our employees thrive both professionally and personally. There has never been a better time to work for Chevron Phillips Chemical. If you’re ready to grow with us and become part of our vision of being the premier Chemical Company, apply today!",3.9,"CPChem
3.9","The Woodlands, TX",1001 to 5000 Employees,2000.0,Company - Private,Chemical Manufacturing,Manufacturing,$10+ billion (USD)
31,Senior Data Scientist,Employer Provided Salary:$143K - $203K,"Overview:
We are looking for a lead data scientist who can help fuel our transition from the mundane to the magnificent through data driven design, analytics, and insights. If you love data and want to be at the tip of the innovation spear at QSC, you have to apply!

Base Pay Range $143,000 - $203,000

QSC thrives where innovative technology and compelling audio-visual experiences intersect. For over 50 years, QSC has pioneered the technology and solutions that enable immersive cinema, live performance audio, themed entertainment, digital collaboration and meeting experiences for our customers and partners around the world. A globally recognized innovator in the design, engineering, and manufacture of category leading high-performance loudspeakers, digital mixers, power amplifiers, audio processors, digital cinema solutions, and the Q-SYS™ software-based audio, video and control Ecosystem.

Responsibilities:






Qualifications:",4.0,"QSC, LLC
4.0","Costa Mesa, CA",501 to 1000 Employees,1968.0,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable
32,Junior Data Scientist,Employer Provided Salary:$90K - $140K,"The Junior Data Scientist will be responsible for supporting the development of the next generation of AI solutions at Hawkeye 360. They will focus on areas of analytics exploration which will separate HawkEye 360 from the field of competitors. They will harness the power of AI,Machine Learning and Hawkeye 360's unique RF data to improve maritime domain situational awareness, further boosting HawkEye 360's dominance in this market.

The right candidate must be a creative problem solver who can look beyond the data to see underlying trends and patterns. They will need to leverage their knowledge of statistics, machine learning, and AI to create effective solutions to tackle real-world problems. The candidate will also need to leverage multiple data modalities to create solutions, so a good understanding of combining different data sources is key. Additionally, they will collaborate with engineering to transition R&D analytical solutions to production level code, integrating these solutions into existing pipelines.

As the Junior Data Scientist, your main responsibilities will be:




$90,000 - $140,000 annually

HawkEye 360 offers a compensation package that includes a competitive base salary plus annual performance bonus, stock options, and benefits. We consider many factors when determining salary offers, such as candidate's work experience, education, training & skills, as well as market and business considerations. We are also open to considering candidates with experience and qualifications at a different level than required in a job posting, which may affect the compensation package offered.


HawkEye 360 is delivering a revolutionary source of global knowledge based on radio frequency (RF) geospatial analytics to those working to make the world a safer place. The company operates a commercial satellite constellation that detects, geolocates, and identifies a broad range of signals & behaviors. We employ cutting edge AI techniques to equip our global customers with high-impact insights needed to make decisions with confidence. HawkEye 360 is headquartered in Herndon, Virginia.

HawkEye 360 is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity Employer, making decisions without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, marital status, national origin, age, veteran status, disability, or any other protected class.

HawkEye 360 does not accept unsolicited agency resumes. Please do not forward resumes to our jobs alias, HawkEye 360 employees or any other organization location. HawkEye 360 is not responsible for any fees related to unsolicited resumes.",3.4,"HawkEye360
3.4","Herndon, VA",51 to 200 Employees,2015.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$5 to $25 million (USD)
34,Entry Level - Associate Data Scientist - Commercial,Employer Provided Salary:$93.00 - $121.00 Per Hour,"Introduction
As a Associate Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
You uncover the stories hidden in data and find patterns in the numbers. As an Associate Data Scientist, you’ll put this skill to work to solve business problems by preparing, analyzing, and understanding data to deliver insight, predict emerging trends, and provide recommendations for better outcomes. You’ll use a variety of data (structured, unstructured, IoT streaming), analytics, AI tools, and programming languages often using a cloud infrastructure to handle the volume and veracity of data streams.

Armed with data, modeling expertise, and analytic results, as an Associate Data Scientist, you’ll formulate conclusions and recommendations to stakeholders in an organization's leadership structure, leveraging strong consulting, communication, visualization, and storytelling skills.



We have a number of positions open in these locations:




Willingness to travel up to 100%.",3.9,"IBM
3.9","Atlanta, GA",10000+ Employees,1911.0,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
35,Data Scientist,$98K - $133K (Glassdoor est.),"General information
All posting locations: Chicago, Illinois, United States of America
Job Function: 16 - Digital
Date Published: 18-Sep-2023
Ref #: R-74818
Remote, Hybrid or Onsite: Hybrid
Description & Requirements",3.5,"Kraft Heinz Company
3.5","Chicago, IL",10000+ Employees,2015.0,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
36,Data Scientist,$89K - $123K (Glassdoor est.),"Who May Apply

Job Opening: 46673. Job Posting Title: Data Scientist Open to ALL U.S. Citizens. Are you interested in a career supporting investigative and intelligence operations at America’s premier national security and law enforcement agency? Do you have experience or the desire to provide program support in the areas of data research and analysis? As a Data Scientist you will serve as a business innovator and provide support to law enforcement, national security and administrative functions across the FBI. Data Scientists will use scientific and mathematical processes to convert large datasets into more efficient databases for business needs.
All current U.S. citizens may apply. This posting will close on 11/30/2023 at 11:59 PM EST. Questions regarding this opening should be directed to at 202-324-7155 or rlwhite@fbi.gov. This posting will be used to fill multiple vacancies in the Washington, D.C. area as well as Clarksburg, WV, as well as Huntsville, AL. Will vary depending on Division needs. Will vary depending on Division needs. $58,465.00 - $76,000.00. $70,075.00 - $91,101.00. $83,328.00 - $108,324.00. $98,468.00 - $128,008.00. GS-14.",4.1,"Federal Bureau of Investigation
4.1","Washington, DC",10000+ Employees,1908.0,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
37,CONTRACT - Senior Data Scientist (NTD),Employer Provided Salary:$74.00 - $110.00 Per Hour,"Nintendo Technology Development
The worldwide pioneer in the creation of interactive entertainment, Nintendo Co., Ltd., of Kyoto, Japan, manufactures and markets hardware and software for its Nintendo Switch™ system and the Nintendo 3DS™ family of portable systems. Since 1983, when it launched the Nintendo Entertainment System™, Nintendo has sold more than 4.7 billion video games and more than 740 million hardware units globally, including Nintendo Switch and the Nintendo 3DS family of systems, as well as the Game Boy™, Game Boy Advance, Nintendo DS™ family of systems, Super NES™, Nintendo 64™, Nintendo GameCube™, Wii™ and Wii U™ systems. It has also created industry icons that have become well-known, household names, such as Mario, Donkey Kong, Metroid, Zelda and Pokémon. A wholly owned subsidiary, Nintendo Technology Development, based in
Redmond, Washington, creates future hardware/software technology and researches North American-based technologies.",4.4,"Nintendo
4.4","Redmond, WA",5001 to 10000 Employees,,Company - Public,Video Game Publishing,Media & Communication,$10+ billion (USD)
38,Data Scientist,Employer Provided Salary:$197K - $269K,"The goal of AI Infra is to accelerate the pace of innovation for AI at Meta and unlock its full potential. We do so by providing the best in class, highly efficient, intuitive platforms and tools across the ML development lifecycle. We are looking for seasoned data science individuals with broad experience creating data driven results across consumer / enterprise products and infrastructure. In this high visibility role, you will focus on measurement and understand work to scale Meta's ML development and enable broad adoption of AI Infra's offerings.As a Data Scientist, you will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research, Data Engineering, Finance and others. You will use data and analysis to identify and solve product development’s biggest challenges. You will influence product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics and beyond.Product leadership: You will use data to shape development, quantify new opportunities, identify upcoming challenges, and ensure the products we build bring value to people, businesses, and Meta. You will help your partner teams prioritize what to build, set goals, and understand their product’s ecosystem.Analytics: You will guide teams using data and insights. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches to test them.Communication and influence: You won’t simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.",3.9,"Meta
3.9","Menlo Park, CA",10000+ Employees,2004.0,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
39,Data Science Analyst - SS,Employer Provided Salary:$95K - $134K,"Why Mayo Clinic

Mayo Clinic is top-ranked in more specialties than any other care provider according to U.S. News & World Report. As we work together to put the needs of the patient first, we are also dedicated to our employees, investing in competitive compensation and comprehensive benefit plans – to take care of you and your family, now and in the future. And with continuing education and advancement opportunities at every turn, you can build a long, successful career with Mayo Clinic. You’ll thrive in an environment that supports innovation, is committed to ending racism and supporting diversity, equity and inclusion, and provides the resources you need to succeed.


Responsibilities
Perform detailed analysis of large bodies of heterogeneous data in order to discover new patterns and insights having an impact upon patient health and augmenting human capabilities. Candidate has expertise in AI, machine learning, deep learning, statistical data processing, regression techniques, neural networks, decision trees, clustering, pattern recognition, probability theory and data science methods used to analyze data. May work with knowledge architects, informaticians and clinicians at Mayo, and partner outside companies to develop and deploy applications to bring AI and analytic solutions to nontechnical users, often at the point of care. Applies and modifies existing scripts or software applications to support data management, data extraction, data analysis, and AI as required May develop predictive models on datasets to address various business problems by leveraging statistical modeling, operations research, machine learning, or data mining techniques. May provide Consultative Services to departments/divisions and/or support scientific projects under the guidance of a designated senior level data scientist. Other responsibilities: Provides data insights for business problems that can be approached with analytics techniques to collect, explore, and extract insights from structured and unstructured data. Has expertise in the data science methods used to analyze data, and knowledge of data types, topics, and scientific challenges and approaches. Executes analytical procedures in the framework of a specific project work request. Creates or modifies scripts or software applications to support data management, data extraction and data analysis as required. Contributes to the interpretation of data analysis and to writing reports. Helps customers understand the data set and provide training and suggestions for improvement on the data request. Leverages communication and interpersonal skills and works with subject matter experts Presents findings in easy to understand terms for the business or clinical practice. Telecommuting Permitted.





Exempt



$95,492.80 - $133,681.60/ year. Education, experience and tenure may be considered along with internal equity when job offers are extended.



Yes



Full Time



80



Daytime hours



No










Laura Percival",3.9,"Mayo Clinic
3.9","Rochester, MN",10000+ Employees,1992,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
