,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
10,2024 University Graduate - Data Scientist,Employer Provided Salary:$83K - $153K,"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Opportunity
Do you love to solve complex business problems and use data to find the signal in the noise? Join the Product and Customer Analytics team at Adobe! We are a high-impact, high-visibility team well-suited to individuals with a highly quantitative, inquisitive bent of mind. We use data science to quantify and optimize the product experience for our customers! The ideal candidate will be able to work autonomously and will have a technical background with great communication and project management skills.

You will use data to help product, marketing and engineering teams achieve operational and execution efficiencies. Your success is predicated on finding opportunities and providing insights that enable our enterprise business to lower customer churn, increase user engagement, and facilitate product-led growth.
We are looking for a Data Scientist to improve the adoption and utilization of all our Experience Cloud products. The opportunity is huge, ranging from crafting experiments, building machine learning models to developing new product features. We need a creative self-starter who is passionate about data and knowledge of using data science to enhance customer experience.

What You’ll Do
As a data scientist in a multi-functional group of product managers, marketers, and software developers, you will tap into the underlying usage data, and generate insights to develop highly effective programs for Adobe’s Experience Cloud products. You will analyze changes in user engagement which are key drivers of customer growth and retention.
You will also work with data engineers to automate data pipelines to scale user analytics. You will establish relationships with partners across the Experience Cloud business unit to execute team’s projects.
What You Need to Succeed
Strong Proficiency with statistical programming software like Python (pandas, scikit-learn) and/or R (dplyr, ggplot2)
Experience with predictive modeling and machine learning algorithms (supervised and unsupervised)
Strong knowledge of Statistics & Hypothesis Testing
Experience in querying, manipulating, and analyzing large data sets using SQL and/or SQL-like languages.
Experience with version control software GitHub and data visualization tools such as Tableau or PowerBI
Understanding of experimental design & measurement (A/B Testing)
Communicate effectively and manage relationships with partners coming from both technical and non-technical backgrounds
Develop relationships with engineers and stakeholders
Our compensation reflects the cost of labor across several U.S. geographic markets, and we pay differently based on those defined markets. The U.S. pay range for this position is $82,600 -- $153,100 annually. Pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process.

At Adobe, for sales roles starting salaries are expressed as total target compensation (TTC = base + commission), and short-term incentives are in the form of sales commission plans. Non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the Annual Incentive Plan (AIP).

In addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award.

Adobe is proud to be an Equal Employment Opportunity and affirmative action employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.

Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.

Adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each other’s employees.",4.4,"Adobe
4.4","San Jose, CA",,10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),
11,Data Scientist – Entry Level 2024,Employer Provided Salary:$71K - $133K,"Introduction
Ranked by Forbes as one of the world’s best employers in 2022, IBM promotes growth and innovation to lead as we enter the era of hybrid cloud and AI – helping clients transform their business.

As a Data Scientist, you will be a member of a technical sales agile team to co-develop innovative business solutions with our clients. You will be directly collaborating and impacting the world’s most influential enterprises and brands on the
adoption of next-generation platforms.

IBM’s comprehensive onboarding program and industry-leading learning culture will prepare you with a strong foundation for client success. Our sales environment is collaborative and experiential.

You'll be surrounded by bright minds and keen co-creators ready to assist as you apply practices that will compel our clients to invest in IBM's products and services.


In this role, you’ll be the go-to subject matter expert, collaborating with colleagues from various roles to define solutions and lead the way in how they get built in the age of cloud and AI. This role is hands-on; co-creating using data science, machine learning and programming skills in six-week client engagements.

A 'Day-in-the Life' of a Data Scientist may include, but not be limited to:
To be successful in this role, you will need:
Opportunities are available in: Atlanta GA, Boston MA, Chicago IL, Dallas TX, New York NY, San Francisco CA, and Washington DC – to name a few.",3.9,"IBM
3.9","Atlanta, GA",,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),
12,Data Scientist – Entry Level 2024,Employer Provided Salary:$71K - $133K,"Introduction
Ranked by Forbes as one of the world’s best employers in 2022, IBM promotes growth and innovation to lead as we enter the era of hybrid cloud and AI – helping clients transform their business.

As a Data Scientist, you will be a member of a technical sales agile team to co-develop innovative business solutions with our clients. You will be directly collaborating and impacting the world’s most influential enterprises and brands on the
adoption of next-generation platforms.

IBM’s comprehensive onboarding program and industry-leading learning culture will prepare you with a strong foundation for client success. Our sales environment is collaborative and experiential.

You'll be surrounded by bright minds and keen co-creators ready to assist as you apply practices that will compel our clients to invest in IBM's products and services.


In this role, you’ll be the go-to subject matter expert, collaborating with colleagues from various roles to define solutions and lead the way in how they get built in the age of cloud and AI. This role is hands-on; co-creating using data science, machine learning and programming skills in six-week client engagements.

A 'Day-in-the Life' of a Data Scientist may include, but not be limited to:
To be successful in this role, you will need:
Opportunities are available in: Atlanta GA, Boston MA, Chicago IL, Dallas TX, New York NY, San Francisco CA, and Washington DC – to name a few.",3.9,"IBM
3.9","Atlanta, GA",,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),
13,Grace Hopper 2023: Data Scientist,$82K - $123K (Glassdoor est.),"Our Opportunity:
Chewy is looking for Data Scientists to join our Data Science team in Plantation, FL, Boston, MA and Minneapolis, MN. The teams use analytical and statistical techniques to understand and serve the needs of our business processes. Developing data-driven solutions, we are looking for data scientists who are committed to solving business problems using cutting edge technologies and developing data-driven marketing solutions.
As part of the data science team at Chewy, you will have the opportunity to provide structure to business problems for new and existing Chewy customers by applying data science principles to design, test, implement, and develop data-based solutions, including reporting, auditing, and preparing large databases for statistical analysis.",3.5,"Chewy
3.5","Plantation, FL",,10000+ Employees,2011,Company - Public,Pet & Pet Supplies Stores,Retail & Wholesale,$5 to $25 million (USD),
14,Data Scientist( Local to dallas TX only),Employer Provided Salary:$70.00 Per Hour,"Position – Data Scientist
Location – Onsite(Dallas, TX)
Duration – Long term Contract
Must Have:-
Pin Machine learning -AZ-ML, Python core, Pyspark
Job Description:
Experience in Machine Learning, supervised and unsupervised: - Forecasting,
Classification, Regression, Text Mining, NLP, Decision Trees, Adaptive Decision Algorithms,
Random Forest, Search Algorithms, Gradient algorithms etc",4.8,"Swanktek
4.8","Dallas, TX",,1 to 50 Employees,,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),
15,USA-Data Scientist II (Clinical),Employer Provided Salary:$50.00 - $65.00 Per Hour,"Data Scientist II (Clinical)
Waltham, MA
12 Months contract
Pay Range: $50-65/hr on w2

General:
"" Implementation of data analysis and process workflows across Waltham R&B
"" Transversal collaborative work with mRNA center of Excellence community and collaborators to achieve objectives.
"" Key user of the electronic laboratory notebook (Benching) to support the team and development of a user-friendly benching process for work and data collection
"" Traceability of samples, reagents, and their storage for the HT platform pipeline
"" Implementation of Sample\Reagent barcode solution in the electronic laboratory notebook (Benchling)
"" Provide solutions to for data visualization to track experimental results and stock of critical reagents

Tasks requiring Skilled Ability:
"" Looking for a PhD or MS candidate in molecular biology or related field with data science experience including strong understanding of electronic laboratory notebooks (Benchling experience preferred)
"" Assist in sample submission and management for samples throughout mRNA platform production pipeline
"" General scientific understanding in the following areas:
o PCR, cloning, and pDNA preparation
o Capillary electrophoresis, SDS page, UPLC-MS, UV-ABS
o Affinity Chromatography
o Cell Culture and Transfection
o ELISA and Activity Assays
o mRNA Formulation (PNP, LNP, etc.)
"" Ability to summarize complex scientific processes highlighting key process and data collection steps",4.2,"eTeam Inc.
4.2","Waltham, MA",,5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),
16,Data Scientist,Employer Provided Salary:$100K - $150K,"The Data Scientist designs, prototypes, and develops processes for machine learning models from experimentation to production. They must work with the Data Science Department to understand current business cases, test hypotheses, and continuously improve active processes. This is a technical role that focuses on data wrangling, feature engineering, and predictive modeling.

The Data Scientist will collaborate with their team to prepare and develop data, features, and predictive models from ideation to production deployment. Current use case datasets are primarily tabular. Potential use cases include time series forecasting, clustering, binary classification, multiclass classification, multivariate regression, anomaly detection, and recommendation systems. Once approved, the Data Scientist will work with the team to transition experimental models to production models.",4.9,"EPCVIP, Inc
4.9","Los Angeles, CA",,51 to 200 Employees,2014,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,
17,Strategic Customers - Data Scientist,,"Oracle’s Strategic Customer Team has the mission to enable OCI's largest and most strategic customers. The Strategic Engineering Customers team is an inclusive and diverse team of high caliber PMs and Engineers focused on the AI/ML Pillar inside of the Strategic Engineering Customer team, distributed globally, who thrive on new challenges. We are seeking an experienced Machine Learning Engineer or Data Scientist with technical expertise in deploying, configuring, and running ML/AI jobs on OCI GPUs, to join our growing team of multidisciplinary experts. As a Senior Principal Data Scientist, you will work closely with the technical and research teams on innovative, strategic projects including advanced applications of ML for the organization. This role is responsible for the technical direction of the team and for communication with both internal and external stakeholder leadership teams, and must demonstrate critical thinking abilities, outstanding communication skills, project management experience and the ability to lead other experienced technical professionals.",3.9,"Oracle
3.9",United States,,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),
18,Data Scientist - Generative AI,$76K - $115K (Glassdoor est.),"** Locations include Spring, Texas (preferred location), and US remote.
** Typically need at least Master's degree and minimum 0-2 years full-time relevant work experience.
The Team
We are a growing centralized team helping HP take advantage of new AI/ML technology, especially around Generative AI and large language models. We engage with business units to advise and prototype solutions, and we develop and run software applications for internal use.
The Role
As a Data Scientist with a focus on Generative AI you will work on multiple engagements across HP involving large language models and other new Generative AI capabilities. Beyond our team, you will work with business stakeholders and developers from other business units. Your primary focus and mindset is to help deliver business solutions to our (mostly internal) customers. You are expected to stay up to date on important new Gen AI papers and releases, but note that this is not an AI research role.",4.2,"HP
4.2","Spring, TX",,10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,
19,Associate Data Scientist,Employer Provided Salary:$65K - $131K,"Work Mode:
Onsite
Responsibilities:
About Tencent
Tencent is a world-leading internet and technology company that develops innovative products and services to improve the quality of life of people around the world. Founded in 1998 with its headquarters in Shenzhen China, our guiding principle is to use technology for good.
We are not only a major video game publisher in the world, we also produce other high-quality digital content, enriching interactive entertainment experiences for people around the globe. We offer a range of services such as cloud computing, advertising, FinTech, and other enterprise services to support our clients' digital transformation and business growth.
About IEG






California
The base pay range for this position in the state(s) above is $65,450 to $130,900 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.",4.0,"Tencent
4.0","Palo Alto, CA",,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,
